Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
PROZ,,,,,,,,,,,,,,,,,,,,,,
PRPF18,1.804202936,Target,13-36 Reads,2-4 Clusters,2-3 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
PRPF19,0.913914734,Target,103-301 Reads,11-24 Clusters,2-3 ACUK,4 or more WGGA,< 1:1,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PRPF3,1.772788198,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
PRPF31,0.576323649,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRPF38A,0.46576194,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
PRPF38B,-0.337200874,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
PRPF39,0.527639254,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
PRPF4,1.094818972,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
PRPF40A,1.491932183,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
PRPF40B,1.023776165,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRPF4B,0.136921503,Target, > 301 Reads, > 24 Clusters,,,,,,5-20:1,, > 13 CDS,1:3 to 3:4,,,,,,,,,
PRPF6,1.739861251,Target,37-102 Reads,11-24 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PRPF8,1.603475554,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
PRPH,0.055711501,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRPH2,,,,,,,,,,,,,,,,,,,,,,
PRPS1,-0.866243157,Target,103-301 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
PRPS1L1,,,,,,,,,,,,,,,,,,,,,,
PRPS2,-0.779135188,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
PRPSAP1,0.370911851,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRPSAP2,0.35936187,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR11,-0.382788068,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
PRR12,1.113404904,Target,103-301 Reads,11-24 Clusters,0 ACUK,4 or more WGGA,,WGGA-CDS,Exon,,CDS,7-13 CDS,,,,,,,,,,
PRR13,-1.905359069,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR14,-0.33970092,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR14L,,,,,,,,,,,,,,,,,,,,,,
PRR15,0.377267345,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR15L,,,,,,,,,,,,,,,,,,,,,,
PRR16,,,,,,,,,,,,,,,,,,,,,,
PRR18,,,,,,,,,,,,,,,,,,,,,,
PRR19,,,,,,,,,,,,,,,,,,,,,,
PRR20A,,,,,,,,,,,,,,,,,,,,,,
PRR22,0.889548399,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR24,-0.834464909,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR25,,,,,,,,,,,,,,,,,,,,,,
PRR3,-1.441131848,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
PRR4,-1.076452686,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR5,0.103088276,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR5-ARHGAP8,,,,,,,,,,,,,,,,,,,,,,
PRR5L,0.311474361,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR7,-0.892471619,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRR9,,,,,,,,,,,,,,,,,,,,,,
PRRC1,-1.106745617,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
PRRC2A,,,,,,,,,,,,,,,,,,,,,,
PRRC2B,,,,,,,,,,,,,,,,,,,,,,
PRRC2C,,,,,,,,,,,,,,,,,,,,,,
PRRG1,-1.809075702,Target,5-12 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,,<= 1:1,,,,,,,,,,,,
PRRG2,0.172442954,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRRG3,,,,,,,,,,,,,,,,,,,,,,
PRRG4,-1.244189887,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
PRRT1,-0.570871522,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRRT2,,,,,,,,,,,,,,,,,,,,,,
PRRT3,1.219773329,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRRT4,,,,,,,,,,,,,,,,,,,,,,
PRRX1,,,,,,,,,,,,,,,,,,,,,,
PRRX2,-0.198025455,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRSS1,,,,,,,,,,,,,,,,,,,,,,
PRSS12,,,,,,,,,,,,,,,,,,,,,,
PRSS16,,,,,,,,,,,,,,,,,,,,,,
PRSS21,,,,,,,,,,,,,,,,,,,,,,
PRSS22,-0.017311656,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRSS23,0.026657326,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRSS27,,,,,,,,,,,,,,,,,,,,,,
PRSS3,,,,,,,,,,,,,,,,,,,,,,
PRSS33,,,,,,,,,,,,,,,,,,,,,,
PRSS35,,,,,,,,,,,,,,,,,,,,,,
PRSS36,,,,,,,,,,,,,,,,,,,,,,
PRSS37,,,,,,,,,,,,,,,,,,,,,,
PRSS38,,,,,,,,,,,,,,,,,,,,,,
PRSS42,,,,,,,,,,,,,,,,,,,,,,
PRSS45,,,,,,,,,,,,,,,,,,,,,,
PRSS48,,,,,,,,,,,,,,,,,,,,,,
PRSS50,,,,,,,,,,,,,,,,,,,,,,
PRSS53,0.146809602,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRSS54,,,,,,,,,,,,,,,,,,,,,,
PRSS55,,,,,,,,,,,,,,,,,,,,,,
PRSS57,,,,,,,,,,,,,,,,,,,,,,
PRSS8,,,,,,,,,,,,,,,,,,,,,,
PRTFDC1,,,,,,,,,,,,,,,,,,,,,,
PRTG,-0.677249292,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,2-3 WGGA,1:01,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
PRTN3,,,,,,,,,,,,,,,,,,,,,,
PRUNE,-0.373991965,Target,37-102 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
PRUNE2,-0.069315024,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRX,0.525921668,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PRY2,,,,,,,,,,,,,,,,,,,,,,
PS1TP4,-1.344970063,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSAP,1.08558335,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
PSAPL1,,,,,,,,,,,,,,,,,,,,,,
PSAT1,-0.298174214,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
PSCA,,,,,,,,,,,,,,,,,,,,,,
PSD,,,,,,,,,,,,,,,,,,,,,,
PSD2,,,,,,,,,,,,,,,,,,,,,,
PSD3,0.884080948,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,, > 13 CDS,at most 1:3,,,,,,,,,
PSD4,0.759902149,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSEN1,-0.456394681,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
PSEN2,0.757819693,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSENEN,-2.816700932,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSG1,0.143569473,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSG11,,,,,,,,,,,,,,,,,,,,,,
PSG2,,,,,,,,,,,,,,,,,,,,,,
PSG3,,,,,,,,,,,,,,,,,,,,,,
PSG4,,,,,,,,,,,,,,,,,,,,,,
PSG5,0.260867185,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSG6,,,,,,,,,,,,,,,,,,,,,,
PSG8,,,,,,,,,,,,,,,,,,,,,,
PSG9,,,,,,,,,,,,,,,,,,,,,,
PSIP1,-0.517427978,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
PSKH1,0.657573535,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSKH2,,,,,,,,,,,,,,,,,,,,,,
PSMA1,-0.946124328,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMA2,-0.555545188,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMA3,-0.07698537,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMA4,0.023405333,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,> 4:1,,,,,,,,,
PSMA5,-0.244155904,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMA6,-0.834172466,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
PSMA7,0.277300241,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
PSMA8,,,,,,,,,,,,,,,,,,,,,,
PSMB1,0.144393661,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMB10,-1.378240939,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMB11,,,,,,,,,,,,,,,,,,,,,,
PSMB2,-0.579769528,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,2-3 CDS,,,,,,,,,,
PSMB3,-1.447526152,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMB4,-0.419061517,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
PSMB5,-0.914060526,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,1 WGGA,> 1:1,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
PSMB6,-0.34315502,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMB7,-0.644659286,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMB8,,,,,,,,,,,,,,,,,,,,,,
PSMB9,,,,,,,,,,,,,,,,,,,,,,
PSMC1,0.416948724,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMC2,0.328723929,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PSMC3,0.954339772,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,2-3 CDS,,,,,,,,,,
PSMC3IP,-0.553321614,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
PSMC4,0.824825588,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PSMC5,1.079489599,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,1 WGGA,> 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMC6,0.568563619,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMD1,1.617278502,Target,37-102 Reads,11-24 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PSMD10,-0.616550012,Target,13-36 Reads,5-10 Clusters,,,,,,1-5:1,,2-3 CDS,2 to 4:1,+ASD/+Target,,,,,,,,
PSMD11,-0.781270506,Target,13-36 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMD12,-0.659624335,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PSMD13,0.669387245,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
PSMD14,0.162930713,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,1 WGGA,> 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMD2,1.746768144,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
PSMD3,0.718250278,Target,103-301 Reads,11-24 Clusters,1 ACUK,4 or more WGGA,< 1:1,,Exon,,CDS,7-13 CDS,,,,,,,,,,
PSMD4,0.229950112,Target,13-36 Reads,2-4 Clusters,2-3 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
PSMD5,,,,,,,,,,,,,,,,,,,,,,
PSMD6,0.572571676,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMD7,0.303556781,Target,37-102 Reads,5-10 Clusters,0 ACUK,2-3 WGGA,,,,5-20:1,,2-3 CDS,1 to 1.99:1,,,,,,,,,
PSMD8,-0.216307689,Target,37-102 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
PSMD9,-0.366640343,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSME1,0.462539656,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSME2,-0.030245017,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSME3,-1.225674157,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
PSME4,0.897980242,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
PSMF1,-1.114137711,Target,13-36 Reads,2-4 Clusters,0 ACUK,2-3 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
PSMG1,-1.246301603,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMG2,-1.518017253,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMG3,-1.046499542,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSMG4,-1.602413228,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSORS1C1,,,,,,,,,,,,,,,,,,,,,,
PSORS1C2,0.915422985,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSPC1,1.711861579,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSPH,-0.658968806,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSPN,-0.018839255,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSRC1,0.045906343,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSTK,-0.488612928,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PSTPIP1,,,,,,,,,,,,,,,,,,,,,,
PSTPIP2,0.184780323,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTAFR,0.574121936,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTAR1,-0.938813951,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
PTBP1,0.180197549,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
PTBP2,-0.484200428,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
PTCD1,2.099152188,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
PTCD2,-0.359916241,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTCD3,0.412249799,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
PTCH1,0.718860892,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
PTCH2,0.549674194,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTCHD1,,,,,,,,,,,,,,,,,,,,,,
PTCHD2,0.12413112,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTCHD3,,,,,,,,,,,,,,,,,,,,,,
PTCRA,-0.102402577,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTDSS1,-1.703183576,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
PTDSS2,0.535368964,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,,Intron,,Intron,,,,,,,,,,,
PTEN,-0.031067882,Target, > 301 Reads, > 24 Clusters,,,,,,5-20:1,,4-6 CDS,at most 1:3,+ASD/+Target,,,,,,,,
PTER,-0.685802344,Target,13-36 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
PTF1A,,,,,,,,,,,,,,,,,,,,,,
PTGDR,,,,,,,,,,,,,,,,,,,,,,
PTGDS,0.212466066,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGER1,-0.180169359,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGER2,,,,,,,,,,,,,,,,,,,,,,
PTGER3,,,,,,,,,,,,,,,,,,,,,,
PTGER4,1.121930606,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGES,-0.112337386,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGES2,-0.584647008,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGES3,-0.906231083,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
PTGFR,,,,,,,,,,,,,,,,,,,,,,
PTGFRN,1.143120089,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
PTGIR,0.095020426,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGIS,,,,,,,,,,,,,,,,,,,,,,
PTGR1,0.238039396,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTGR2,,,,,,,,,,,,,,,,,,,,,,
PTGS1,,,,,,,,,,,,,,,,,,,,,,
PTGS2,,,,,,,,,,,,,,,,,,,,,,
PTH,,,,,,,,,,,,,,,,,,,,,,
PTH1R,0.644994634,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTH2,0.118392865,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTH2R,,,,,,,,,,,,,,,,,,,,,,
PTHLH,,,,,,,,,,,,,,,,,,,,,,
PTK2,0.484511818,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
PTK2B,0.425167592,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTK6,,,,,,,,,,,,,,,,,,,,,,
PTK7,0.957903315,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
PTMA,-0.174907388,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,+ASD/-Target,,,,,,,,
PTMS,-0.262995676,Target,37-102 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
PTN,,,,,,,,,,,,,,,,,,,,,,
PTOV1,-0.024499822,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
PTP4A1,-1.907445459,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,4-6 CDS,at most 1:3,,,,,,,,,
PTP4A2,-1.636029368,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
